X	Y
1007399.54641859	254562.24294886
1009185.62507606	254562.24294886
1010971.70373353	254562.24294886
1012757.782391	254562.24294886
1014543.86104847	254562.24294886
1016329.93970594	254562.24294886
971677.973269185	252776.16429139
973464.051926655	252776.16429139
975250.130584126	252776.16429139
977036.209241596	252776.16429139
978822.287899066	252776.16429139
980608.366556537	252776.16429139
982394.445214007	252776.16429139
984180.523871477	252776.16429139
985966.602528947	252776.16429139
987752.681186418	252776.16429139
989538.759843888	252776.16429139
991324.838501358	252776.16429139
993110.917158829	252776.16429139
994896.995816299	252776.16429139
996683.074473769	252776.16429139
998469.153131239	252776.16429139
1000255.23178871	252776.16429139
1002041.31044618	252776.16429139
1003827.38910365	252776.16429139
1005613.46776112	252776.16429139
1007399.54641859	252776.16429139
1009185.62507606	252776.16429139
1010971.70373353	252776.16429139
1012757.782391	252776.16429139
1014543.86104847	252776.16429139
1016329.93970594	252776.16429139
971677.973269185	250990.08563392
973464.051926655	250990.08563392
975250.130584126	250990.08563392
977036.209241596	250990.08563392
978822.287899066	250990.08563392
980608.366556537	250990.08563392
982394.445214007	250990.08563392
984180.523871477	250990.08563392
985966.602528947	250990.08563392
987752.681186418	250990.08563392
989538.759843888	250990.08563392
991324.838501358	250990.08563392
993110.917158829	250990.08563392
994896.995816299	250990.08563392
996683.074473769	250990.08563392
998469.153131239	250990.08563392
1000255.23178871	250990.08563392
1002041.31044618	250990.08563392
1003827.38910365	250990.08563392
1005613.46776112	250990.08563392
1007399.54641859	250990.08563392
1009185.62507606	250990.08563392
1010971.70373353	250990.08563392
1012757.782391	250990.08563392
1014543.86104847	250990.08563392
1016329.93970594	250990.08563392
971677.973269185	249204.006976449
973464.051926655	249204.006976449
975250.130584126	249204.006976449
977036.209241596	249204.006976449
978822.287899066	249204.006976449
980608.366556537	249204.006976449
982394.445214007	249204.006976449
984180.523871477	249204.006976449
985966.602528947	249204.006976449
987752.681186418	249204.006976449
989538.759843888	249204.006976449
991324.838501358	249204.006976449
993110.917158829	249204.006976449
994896.995816299	249204.006976449
996683.074473769	249204.006976449
998469.153131239	249204.006976449
1000255.23178871	249204.006976449
1002041.31044618	249204.006976449
1003827.38910365	249204.006976449
1005613.46776112	249204.006976449
1007399.54641859	249204.006976449
1009185.62507606	249204.006976449
1010971.70373353	249204.006976449
1012757.782391	249204.006976449
1014543.86104847	249204.006976449
1016329.93970594	249204.006976449
971677.973269185	247417.928318979
973464.051926655	247417.928318979
975250.130584126	247417.928318979
977036.209241596	247417.928318979
978822.287899066	247417.928318979
980608.366556537	247417.928318979
982394.445214007	247417.928318979
984180.523871477	247417.928318979
985966.602528947	247417.928318979
987752.681186418	247417.928318979
989538.759843888	247417.928318979
991324.838501358	247417.928318979
993110.917158829	247417.928318979
994896.995816299	247417.928318979
996683.074473769	247417.928318979
998469.153131239	247417.928318979
1000255.23178871	247417.928318979
1002041.31044618	247417.928318979
1003827.38910365	247417.928318979
1005613.46776112	247417.928318979
1007399.54641859	247417.928318979
1009185.62507606	247417.928318979
1010971.70373353	247417.928318979
1012757.782391	247417.928318979
1014543.86104847	247417.928318979
1016329.93970594	247417.928318979
971677.973269185	245631.849661509
973464.051926655	245631.849661509
975250.130584126	245631.849661509
977036.209241596	245631.849661509
978822.287899066	245631.849661509
980608.366556537	245631.849661509
982394.445214007	245631.849661509
984180.523871477	245631.849661509
985966.602528947	245631.849661509
987752.681186418	245631.849661509
989538.759843888	245631.849661509
991324.838501358	245631.849661509
993110.917158829	245631.849661509
994896.995816299	245631.849661509
996683.074473769	245631.849661509
998469.153131239	245631.849661509
1000255.23178871	245631.849661509
1002041.31044618	245631.849661509
1003827.38910365	245631.849661509
1005613.46776112	245631.849661509
1007399.54641859	245631.849661509
1009185.62507606	245631.849661509
1010971.70373353	245631.849661509
1012757.782391	245631.849661509
1014543.86104847	245631.849661509
1016329.93970594	245631.849661509
971677.973269185	243845.771004039
973464.051926655	243845.771004039
975250.130584126	243845.771004039
977036.209241596	243845.771004039
978822.287899066	243845.771004039
980608.366556537	243845.771004039
982394.445214007	243845.771004039
984180.523871477	243845.771004039
985966.602528947	243845.771004039
987752.681186418	243845.771004039
989538.759843888	243845.771004039
991324.838501358	243845.771004039
993110.917158829	243845.771004039
994896.995816299	243845.771004039
996683.074473769	243845.771004039
998469.153131239	243845.771004039
1000255.23178871	243845.771004039
1002041.31044618	243845.771004039
1003827.38910365	243845.771004039
